Nazwa,Kategoria_API,Ocena,Liczba_Opinii,Poziom_Cen_API,Szacowany_Koszt_PLN,Szacowany_Czas_MIN,Latitude,Longitude
Muzeum Narodowe we Wrocławiu,museum,4.6,9234,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.11347707193831,17.04286524022668
Hydropolis,museum,4.4,8997,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.08890043020891,17.025345545927923
Muzeum Sztuki Mieszczańskiej,museum,4.7,5111,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09890117273476,17.04766507191801
Muzeum Panorama Racławicka Oddział Muzeum Narodowego we Wrocławiu,museum,4.8,26256,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09682842952596,17.025036099750476
Dom Krasnali,museum,4.9,1059,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.11735884856656,17.033678217670307
Kolejkowo Wrocław,tourist_attraction,4.8,18857,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.11496797949692,17.05808093402546
Centrum Historii Zajezdnia,history_museum,4.7,4390,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.12358718270819,17.044099990394162
Pałac Królewski we Wrocławiu,museum,4.6,3001,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09137755330518,17.040777989750985
Muzeum Przyrodnicze,museum,4.7,1798,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.10477687278741,17.045884570039593
Niewidzialny Dom we Wrocławiu | Invisible House in Wroclaw,tourist_attraction,4.9,522,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.089091888777524,17.05221407680759
Muzeum Iluzji Wrocław,museum,4.5,3980,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09664551899215,17.04953999646185
Pawilon Czterech Kopuł,art_museum,4.6,2814,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.10811421152413,17.027661922878565
Wystawa Pająków Wrocław,tourist_attraction,4.9,1242,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.08896143878736,17.01978400975616
Muzeum Gry i Komputery Minionej Ery (Muzeum Gier),museum,4.8,2788,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09585350602747,17.03111812192236
Pixel XL,amusement_center,4.9,7425,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.113895377511184,17.029209635039027
Muzeum Architektury we Wrocławiu,museum,4.4,1501,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.10969765922413,17.02693931374345
Wystawa Budowli z Klocków LEGO® Wrocław,tourist_attraction,4.5,1833,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.09671762488163,17.0562163885734
Muzeum Pana Tadeusza,museum,4.6,1574,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.11147062735504,17.053554705058907
Muzeum Poczty i Telekomunikacji we Wrocławiu,museum,4.6,693,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.12027721826711,17.031087115231937
Muzeum Sztuki Medalierskiej,museum,4.7,68,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.08815995038712,17.044717546611793
Muzeum Miejskie Wrocławia,museum,4.4,365,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.12013277007331,17.034325276042427
Muzeum Współczesne Wrocław,art_museum,4.2,1761,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.115825575799526,17.05508190358962
Muzeum Archeologiczne Oddział Muzeum Miejskiego Wrocławia,museum,4.6,1548,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.10151002066072,17.036854074103495
MovieGate,museum,4.5,2315,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.094119179992475,17.02909520665992
Muzeum Uniwersytetu Wrocławskiego,museum,4.8,328,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.12618852288827,17.02836510030776
Muzeum Teatru im. Henryka Tomaszewskiego,museum,4.5,406,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.10136378180451,17.040954725366525
Muzeum Militariów,museum,4.7,230,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.091609833735205,17.029009664340915
Park Szczytnicki we Wrocławiu,park,4.7,30784,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.09176865507334,17.04188343960894
Muzeum Śląska Wrocław,museum,4.8,53,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.1217997746539,17.0544129153441
Pergola we Wrocławiu,tourist_attraction,4.9,774,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.11204904125468,17.034476020205616
Ogród Botaniczny Uniwersytetu Wrocławskiego,botanical_garden,4.8,14179,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.12018513093098,17.02727283036629
Muzeum Wojsk Inżynieryjnych i Chemicznych we Wrocławiu,museum,4.4,111,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.117089271467755,17.058401504259802
Muzeum Geologiczne Uniwersytetu Wrocławskiego,museum,4.7,205,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.10934912365819,17.038881051747058
Muzeum Etnograficzne - Oddział Muzeum Narodowego,history_museum,4.4,1346,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.12682463055918,17.02213637648695
Zwierciadła akustyczne,tourist_attraction,4.8,444,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.10304137508834,17.02038465501699
Most Tumski,bridge,4.8,18322,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.10998162525093,17.022885965214027
Visitor Centre,museum,4.0,87,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.12107618657012,17.043597841668124
Mauzoleum Piastów Śląskich we Wrocławiu,museum,4.6,60,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.112640790094574,17.050183174574517
Muzeum Farmacji we Wrocławiu,museum,4.7,340,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.12236827601243,17.035386398671985
Oddział Muzeum Mineralogicznego Uniwersytetu Wrocławskiego,museum,4.8,262,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.11099408581027,17.021041108246077
ZOO Wrocław,zoo,4.7,139633,PRICE_LEVEL_UNSPECIFIED,30,180.0,51.1160828734486,17.03376477146026
Hala Stulecia,event_venue,4.7,14474,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.08973297534623,17.058344855209604
Bastion Ceglarski,historical_landmark,4.6,2639,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.097015931026064,17.039664573803964
Muzeum Motoryzacji Wena w Oławie,museum,4.9,9088,PRICE_LEVEL_UNSPECIFIED,30,120.0,51.09947551854408,17.057343135104542
Odrarium ZOO Wrocław,zoo,4.8,188,PRICE_LEVEL_UNSPECIFIED,30,180.0,51.091091679076946,17.052931188089378
Taras Widokowy Sky Tower,observation_deck,4.5,8315,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.09721163545444,17.018959240877713
OP ENHEIM,art_gallery,4.8,64,PRICE_LEVEL_UNSPECIFIED,30,90.0,51.09194005717639,17.047328872774408
Pomnik Anonimowego Przechodnia we Wrocławiu,sculpture,4.8,2480,PRICE_LEVEL_UNSPECIFIED,30,60.0,51.0990189441244,17.045768414761064
